severity,req#,subject,logged_date,last_updated,service
high,104569,Cannot connect to printer,01/29/2023 15:12:03 IST,01/30/2023 13:12:03 IST,Service 6
low,104574,Driver installation error,08/16/2023 10:25:24 IST,08/17/2023 08:25:24 IST,Service 10
critical,104577,Paper jam,07/12/2023 06:31:15 IST,07/12/2023 10:31:15 IST,Service 8
high,104579,Network issues,08/15/2023 02:10:42 IST,08/15/2023 03:10:42 IST,Service 7
low,104582,Cannot connect to printer,01/01/2023 23:35:24 IST,01/04/2023 11:35:24 IST,Service 5
high,104584,Network issues,10/24/2023 05:41:23 IST,10/26/2023 00:41:23 IST,Service 3
low,104586,Cannot print PDF,08/02/2023 02:53:31 IST,08/02/2023 09:53:31 IST,Service 6
low,104587,Cannot connect to printer,11/01/2023 16:37:30 IST,11/03/2023 23:37:30 IST,Service 7
medium,104591,Low ink warning,06/20/2023 22:11:01 IST,06/21/2023 09:11:01 IST,Service 2
high,104592,Driver installation error,04/24/2023 19:17:33 IST,04/26/2023 21:17:33 IST,Service 6
high,104595,Network issues,03/06/2023 16:11:22 IST,03/07/2023 09:11:22 IST,Service 10
low,104597,Printer spooler error,03/27/2023 18:16:41 IST,03/28/2023 14:16:41 IST,Service 10
high,104598,Network issues,10/08/2023 12:53:20 IST,10/11/2023 04:53:20 IST,Service 10
high,104603,Cannot print PDF,06/08/2023 14:16:24 IST,06/09/2023 03:16:24 IST,Service 6
high,104607,Low ink warning,09/16/2023 13:39:04 IST,09/19/2023 13:39:04 IST,Service 10
critical,104610,Network issues,09/19/2023 08:02:19 IST,09/21/2023 04:02:19 IST,Service 6
critical,104613,Printer not responding,11/14/2023 23:32:57 IST,11/16/2023 05:32:57 IST,Service 8
high,104614,Printer not responding,12/29/2023 01:54:35 IST,12/29/2023 03:54:35 IST,Service 5
critical,104616,Printer not responding,06/26/2023 15:52:52 IST,06/28/2023 06:52:52 IST,Service 3
low,104617,Toner not recognized,01/19/2023 16:51:33 IST,01/19/2023 17:51:33 IST,Service 1
low,104622,Driver installation error,09/09/2023 05:15:53 IST,09/10/2023 15:15:53 IST,Service 9
critical,104625,Toner not recognized,02/01/2023 11:36:30 IST,02/03/2023 16:36:30 IST,Service 10
high,104627,Printer spooler error,02/15/2023 16:03:35 IST,02/16/2023 06:03:35 IST,Service 6
medium,104628,Toner not recognized,03/07/2023 22:04:41 IST,03/09/2023 18:04:41 IST,Service 2
medium,104632,Slow printing,01/23/2023 08:11:22 IST,01/25/2023 09:11:22 IST,Service 6
critical,104636,Printer not responding,07/23/2023 21:49:35 IST,07/26/2023 01:49:35 IST,Service 1
high,104637,Paper jam,12/18/2023 07:18:57 IST,12/20/2023 02:18:57 IST,Service 3
medium,104638,Cannot print PDF,02/18/2023 09:22:13 IST,02/20/2023 22:22:13 IST,Service 3
critical,104640,Printer not responding,01/05/2023 07:00:57 IST,01/08/2023 07:00:57 IST,Service 2
low,104645,Toner not recognized,06/23/2023 16:27:10 IST,06/26/2023 01:27:10 IST,Service 5
critical,104649,Printer spooler error,10/27/2023 16:13:55 IST,10/29/2023 03:13:55 IST,Service 10
high,104653,Low ink warning,07/11/2023 17:30:33 IST,07/14/2023 16:30:33 IST,Service 9
high,104655,Paper jam,04/26/2023 14:14:03 IST,04/28/2023 06:14:03 IST,Service 4
critical,104659,Paper jam,02/18/2023 20:42:07 IST,02/21/2023 11:42:07 IST,Service 4
low,104660,Driver installation error,07/27/2023 13:17:10 IST,07/28/2023 20:17:10 IST,Service 1
critical,104663,Network issues,06/06/2023 02:22:15 IST,06/06/2023 16:22:15 IST,Service 5
low,104664,Cannot connect to printer,07/20/2023 17:58:07 IST,07/22/2023 01:58:07 IST,Service 8
medium,104665,Paper jam,04/25/2023 08:57:25 IST,04/27/2023 16:57:25 IST,Service 3
low,104668,Printer spooler error,09/10/2023 11:40:27 IST,09/11/2023 18:40:27 IST,Service 2
high,104672,Network issues,12/09/2023 08:14:39 IST,12/09/2023 15:14:39 IST,Service 4
critical,104674,Cannot connect to printer,08/26/2023 12:59:12 IST,08/27/2023 17:59:12 IST,Service 7
critical,104676,Printer not responding,12/10/2023 00:51:54 IST,12/10/2023 18:51:54 IST,Service 3
high,104679,Cannot connect to printer,06/25/2023 02:02:28 IST,06/25/2023 10:02:28 IST,Service 8
critical,104684,Toner not recognized,10/22/2023 01:48:14 IST,10/24/2023 03:48:14 IST,Service 5
low,104688,Network issues,12/11/2023 19:12:52 IST,12/12/2023 07:12:52 IST,Service 1
high,104689,Paper jam,10/27/2023 11:28:15 IST,10/28/2023 01:28:15 IST,Service 1
low,104690,Paper jam,05/12/2023 10:54:32 IST,05/12/2023 17:54:32 IST,Service 3
high,104692,Printer spooler error,02/09/2023 07:55:09 IST,02/12/2023 04:55:09 IST,Service 6
high,104697,Cannot connect to printer,08/06/2023 02:30:48 IST,08/08/2023 13:30:48 IST,Service 1
low,104702,Driver installation error,01/16/2023 06:06:46 IST,01/17/2023 23:06:46 IST,Service 5
low,104705,Printer spooler error,05/26/2023 07:41:18 IST,05/26/2023 15:41:18 IST,Service 9
medium,104707,Toner not recognized,05/17/2023 19:21:20 IST,05/19/2023 21:21:20 IST,Service 10
high,104712,Cannot print PDF,03/07/2023 01:42:31 IST,03/08/2023 19:42:31 IST,Service 9
critical,104714,Printer spooler error,11/23/2023 21:45:15 IST,11/24/2023 06:45:15 IST,Service 9
low,104717,Toner not recognized,06/16/2023 02:30:08 IST,06/17/2023 05:30:08 IST,Service 4
medium,104722,Network issues,11/01/2023 20:13:44 IST,11/02/2023 18:13:44 IST,Service 9
low,104726,Low ink warning,03/19/2023 08:55:44 IST,03/21/2023 05:55:44 IST,Service 5
low,104729,Slow printing,04/22/2023 21:50:19 IST,04/25/2023 20:50:19 IST,Service 9
high,104732,Low ink warning,06/28/2023 19:14:20 IST,07/01/2023 12:14:20 IST,Service 7
high,104734,Cannot connect to printer,11/07/2023 01:19:44 IST,11/10/2023 01:19:44 IST,Service 8
critical,104736,Printer not responding,09/02/2023 04:22:48 IST,09/03/2023 14:22:48 IST,Service 6
medium,104740,Printer not responding,10/04/2023 19:33:28 IST,10/04/2023 21:33:28 IST,Service 3
medium,104742,Slow printing,08/18/2023 07:38:01 IST,08/19/2023 17:38:01 IST,Service 2
high,104746,Toner not recognized,09/17/2023 12:55:58 IST,09/18/2023 20:55:58 IST,Service 2
high,104748,Printer spooler error,02/23/2023 13:16:03 IST,02/24/2023 08:16:03 IST,Service 1
critical,104749,Network issues,10/31/2023 08:18:42 IST,10/31/2023 16:18:42 IST,Service 4
medium,104751,Driver installation error,03/03/2023 21:44:06 IST,03/06/2023 07:44:06 IST,Service 2
low,104753,Driver installation error,02/04/2023 09:13:54 IST,02/07/2023 02:13:54 IST,Service 8
low,104756,Printer spooler error,05/10/2023 09:46:52 IST,05/12/2023 22:46:52 IST,Service 4
medium,104761,Driver installation error,11/16/2023 22:01:52 IST,11/19/2023 02:01:52 IST,Service 7
critical,104766,Paper jam,12/10/2023 19:05:00 IST,12/11/2023 14:05:00 IST,Service 3
high,104771,Printer spooler error,03/22/2023 07:35:24 IST,03/22/2023 17:35:24 IST,Service 3
medium,104772,Printer not responding,07/02/2023 16:27:53 IST,07/04/2023 18:27:53 IST,Service 8
high,104774,Cannot connect to printer,12/03/2023 08:52:53 IST,12/05/2023 03:52:53 IST,Service 6
critical,104778,Cannot print PDF,11/01/2023 21:27:31 IST,11/02/2023 20:27:31 IST,Service 3
medium,104782,Printer spooler error,11/13/2023 20:41:38 IST,11/14/2023 01:41:38 IST,Service 7
critical,104785,Cannot connect to printer,01/20/2023 00:24:22 IST,01/22/2023 02:24:22 IST,Service 5
critical,104789,Toner not recognized,01/16/2023 02:32:25 IST,01/16/2023 12:32:25 IST,Service 3
high,104791,Paper jam,09/12/2023 07:49:46 IST,09/13/2023 01:49:46 IST,Service 9
low,104796,Driver installation error,10/25/2023 19:13:01 IST,10/27/2023 13:13:01 IST,Service 5
critical,104798,Cannot print PDF,05/23/2023 18:43:59 IST,05/26/2023 16:43:59 IST,Service 4
low,104800,Network issues,02/25/2023 12:14:05 IST,02/26/2023 05:14:05 IST,Service 8
high,104804,Driver installation error,06/26/2023 06:44:40 IST,06/29/2023 02:44:40 IST,Service 4
medium,104806,Low ink warning,08/15/2023 17:49:09 IST,08/15/2023 22:49:09 IST,Service 7
critical,104807,Network issues,12/10/2023 01:52:31 IST,12/12/2023 07:52:31 IST,Service 10
low,104809,Cannot print PDF,09/16/2023 07:26:34 IST,09/16/2023 19:26:34 IST,Service 4
critical,104813,Printer not responding,01/20/2023 16:19:34 IST,01/22/2023 01:19:34 IST,Service 10
high,104815,Cannot print PDF,10/20/2023 00:53:56 IST,10/20/2023 20:53:56 IST,Service 3
high,104818,Network issues,08/29/2023 22:17:14 IST,09/01/2023 03:17:14 IST,Service 10
low,104819,Low ink warning,11/02/2023 21:31:56 IST,11/03/2023 10:31:56 IST,Service 1
medium,104821,Toner not recognized,10/18/2023 19:55:09 IST,10/20/2023 18:55:09 IST,Service 1
critical,104823,Network issues,10/23/2023 20:22:00 IST,10/26/2023 15:22:00 IST,Service 3
high,104828,Printer not responding,09/20/2023 11:44:27 IST,09/22/2023 03:44:27 IST,Service 6
high,104832,Paper jam,03/06/2023 16:57:09 IST,03/09/2023 03:57:09 IST,Service 2
medium,104836,Slow printing,10/17/2023 03:17:41 IST,10/18/2023 20:17:41 IST,Service 3
medium,104837,Cannot connect to printer,08/21/2023 01:17:08 IST,08/23/2023 09:17:08 IST,Service 2
high,104842,Printer not responding,07/17/2023 07:22:38 IST,07/19/2023 05:22:38 IST,Service 1
critical,104846,Low ink warning,02/09/2023 09:16:57 IST,02/12/2023 07:16:57 IST,Service 9
medium,104848,Driver installation error,03/16/2023 06:11:47 IST,03/19/2023 03:11:47 IST,Service 10
medium,104852,Paper jam,06/28/2023 03:26:29 IST,06/29/2023 16:26:29 IST,Service 5
high,104854,Driver installation error,12/22/2023 11:39:37 IST,12/25/2023 06:39:37 IST,Service 10
critical,104857,Paper jam,02/24/2023 16:50:36 IST,02/25/2023 01:50:36 IST,Service 10
high,104858,Slow printing,12/26/2023 20:53:11 IST,12/28/2023 19:53:11 IST,Service 1
high,104863,Printer not responding,10/06/2023 00:06:24 IST,10/06/2023 02:06:24 IST,Service 10
critical,104867,Toner not recognized,08/29/2023 01:20:21 IST,08/31/2023 01:20:21 IST,Service 9
low,104872,Slow printing,05/13/2023 14:57:55 IST,05/13/2023 18:57:55 IST,Service 1
high,104874,Cannot connect to printer,11/13/2023 15:38:22 IST,11/14/2023 21:38:22 IST,Service 7
high,104879,Printer not responding,11/02/2023 06:02:38 IST,11/02/2023 10:02:38 IST,Service 1
high,104881,Cannot print PDF,05/20/2023 09:26:23 IST,05/20/2023 13:26:23 IST,Service 5
medium,104885,Cannot connect to printer,01/31/2023 10:21:36 IST,02/01/2023 15:21:36 IST,Service 1
medium,104887,Printer spooler error,07/02/2023 22:54:15 IST,07/04/2023 23:54:15 IST,Service 9
high,104892,Toner not recognized,04/06/2023 07:17:23 IST,04/06/2023 14:17:23 IST,Service 8
medium,104897,Network issues,08/03/2023 00:33:19 IST,08/05/2023 15:33:19 IST,Service 7
low,104900,Low ink warning,06/18/2023 12:21:44 IST,06/20/2023 05:21:44 IST,Service 6
medium,104905,Toner not recognized,08/07/2023 01:57:54 IST,08/07/2023 03:57:54 IST,Service 10
medium,104910,Slow printing,11/02/2023 10:44:59 IST,11/03/2023 19:44:59 IST,Service 5
low,104912,Cannot print PDF,11/21/2023 10:09:24 IST,11/24/2023 01:09:24 IST,Service 4
critical,104914,Slow printing,08/06/2023 00:12:40 IST,08/07/2023 05:12:40 IST,Service 2
low,104919,Cannot print PDF,12/20/2023 19:59:27 IST,12/22/2023 21:59:27 IST,Service 8
medium,104923,Paper jam,01/22/2023 14:17:14 IST,01/23/2023 20:17:14 IST,Service 8
high,104927,Cannot connect to printer,09/26/2023 17:04:29 IST,09/28/2023 17:04:29 IST,Service 2
low,104932,Paper jam,10/06/2023 14:40:30 IST,10/08/2023 21:40:30 IST,Service 7
high,104933,Driver installation error,01/12/2023 14:27:22 IST,01/15/2023 08:27:22 IST,Service 5
critical,104936,Cannot print PDF,07/02/2023 22:06:00 IST,07/03/2023 05:06:00 IST,Service 3
high,104937,Paper jam,05/14/2023 16:00:42 IST,05/15/2023 23:00:42 IST,Service 8
high,104941,Cannot print PDF,06/17/2023 00:25:19 IST,06/18/2023 21:25:19 IST,Service 4
low,104946,Slow printing,05/28/2023 00:23:31 IST,05/28/2023 12:23:31 IST,Service 5
critical,104949,Slow printing,06/28/2023 19:28:24 IST,07/01/2023 07:28:24 IST,Service 10
medium,104952,Network issues,05/03/2023 08:49:54 IST,05/05/2023 05:49:54 IST,Service 9
medium,104956,Printer spooler error,02/22/2023 20:11:07 IST,02/23/2023 14:11:07 IST,Service 5
medium,104958,Paper jam,11/23/2023 05:21:12 IST,11/23/2023 18:21:12 IST,Service 9
medium,104959,Slow printing,09/24/2023 18:41:35 IST,09/26/2023 04:41:35 IST,Service 8
medium,104962,Cannot connect to printer,03/12/2023 01:30:45 IST,03/12/2023 12:30:45 IST,Service 8
critical,104967,Printer spooler error,10/28/2023 04:17:22 IST,10/29/2023 17:17:22 IST,Service 7
medium,104972,Toner not recognized,02/05/2023 09:33:34 IST,02/06/2023 20:33:34 IST,Service 3
high,104973,Printer spooler error,06/30/2023 04:50:06 IST,07/01/2023 04:50:06 IST,Service 6
medium,104974,Low ink warning,03/11/2023 20:09:42 IST,03/12/2023 00:09:42 IST,Service 9
high,104979,Printer not responding,08/16/2023 03:57:55 IST,08/18/2023 00:57:55 IST,Service 8
critical,104982,Printer not responding,01/18/2023 10:40:21 IST,01/19/2023 15:40:21 IST,Service 7
low,104987,Printer spooler error,10/06/2023 15:47:36 IST,10/09/2023 00:47:36 IST,Service 4
critical,104988,Low ink warning,04/12/2023 14:04:03 IST,04/12/2023 20:04:03 IST,Service 2
high,104991,Network issues,06/20/2023 04:52:50 IST,06/20/2023 20:52:50 IST,Service 6
low,104994,Slow printing,03/04/2023 07:42:37 IST,03/06/2023 22:42:37 IST,Service 7
critical,104996,Driver installation error,11/05/2023 13:16:45 IST,11/06/2023 12:16:45 IST,Service 1
low,104997,Printer spooler error,08/24/2023 17:54:04 IST,08/25/2023 00:54:04 IST,Service 9
medium,105001,Driver installation error,01/02/2023 13:42:07 IST,01/03/2023 15:42:07 IST,Service 4
high,105002,Printer spooler error,01/16/2023 20:53:00 IST,01/18/2023 07:53:00 IST,Service 5
high,105005,Driver installation error,07/23/2023 22:15:18 IST,07/26/2023 21:15:18 IST,Service 5
medium,105009,Printer not responding,07/28/2023 16:11:09 IST,07/29/2023 11:11:09 IST,Service 5
low,105012,Cannot connect to printer,06/10/2023 11:01:32 IST,06/12/2023 06:01:32 IST,Service 9
low,105016,Paper jam,05/17/2023 20:56:47 IST,05/20/2023 09:56:47 IST,Service 1
high,105017,Driver installation error,07/13/2023 06:28:14 IST,07/13/2023 19:28:14 IST,Service 5
critical,105022,Printer not responding,08/28/2023 22:59:03 IST,08/31/2023 06:59:03 IST,Service 5
critical,105026,Cannot connect to printer,02/03/2023 11:35:49 IST,02/06/2023 09:35:49 IST,Service 8
medium,105030,Network issues,01/02/2023 10:42:01 IST,01/04/2023 05:42:01 IST,Service 3
low,105034,Paper jam,05/09/2023 09:36:04 IST,05/10/2023 00:36:04 IST,Service 9
high,105039,Network issues,10/12/2023 19:15:44 IST,10/12/2023 22:15:44 IST,Service 10
high,105040,Toner not recognized,02/20/2023 09:26:44 IST,02/22/2023 12:26:44 IST,Service 2
high,105043,Low ink warning,02/18/2023 15:39:09 IST,02/21/2023 09:39:09 IST,Service 8
medium,105044,Printer spooler error,01/22/2023 17:42:51 IST,01/25/2023 16:42:51 IST,Service 5
low,105045,Driver installation error,07/11/2023 00:59:03 IST,07/13/2023 10:59:03 IST,Service 6
high,105050,Paper jam,08/28/2023 04:07:14 IST,08/28/2023 17:07:14 IST,Service 1
low,105052,Network issues,01/09/2023 06:03:56 IST,01/10/2023 08:03:56 IST,Service 7
low,105054,Slow printing,04/02/2023 21:44:02 IST,04/04/2023 01:44:02 IST,Service 4
critical,105056,Cannot print PDF,06/26/2023 15:22:12 IST,06/28/2023 09:22:12 IST,Service 4
medium,105057,Driver installation error,03/27/2023 20:42:30 IST,03/29/2023 01:42:30 IST,Service 7
critical,105061,Toner not recognized,10/16/2023 15:48:22 IST,10/19/2023 06:48:22 IST,Service 9
medium,105064,Driver installation error,01/13/2023 03:30:36 IST,01/14/2023 11:30:36 IST,Service 3
medium,105069,Paper jam,07/30/2023 13:40:21 IST,08/02/2023 09:40:21 IST,Service 2
low,105071,Paper jam,04/03/2023 00:54:19 IST,04/04/2023 02:54:19 IST,Service 5
critical,105076,Low ink warning,08/29/2023 19:26:46 IST,09/01/2023 15:26:46 IST,Service 5
critical,105080,Cannot print PDF,03/06/2023 19:55:02 IST,03/08/2023 09:55:02 IST,Service 2
low,105083,Printer spooler error,05/01/2023 22:42:39 IST,05/02/2023 05:42:39 IST,Service 3
low,105088,Cannot connect to printer,11/12/2023 16:56:58 IST,11/15/2023 14:56:58 IST,Service 9
critical,105091,Cannot print PDF,11/21/2023 18:40:01 IST,11/21/2023 23:40:01 IST,Service 5
medium,105093,Cannot connect to printer,12/02/2023 19:31:44 IST,12/03/2023 07:31:44 IST,Service 4
medium,105095,Low ink warning,06/10/2023 10:14:12 IST,06/11/2023 23:14:12 IST,Service 10
critical,105097,Toner not recognized,10/07/2023 00:20:02 IST,10/07/2023 09:20:02 IST,Service 7
low,105101,Cannot connect to printer,07/26/2023 08:54:37 IST,07/29/2023 05:54:37 IST,Service 2
high,105103,Cannot print PDF,07/05/2023 21:28:50 IST,07/08/2023 17:28:50 IST,Service 5
medium,105108,Toner not recognized,07/03/2023 18:31:16 IST,07/06/2023 00:31:16 IST,Service 9
medium,105109,Slow printing,07/06/2023 13:56:32 IST,07/06/2023 20:56:32 IST,Service 4
medium,105113,Driver installation error,08/16/2023 11:26:37 IST,08/18/2023 03:26:37 IST,Service 5
high,105115,Paper jam,07/24/2023 21:50:19 IST,07/26/2023 14:50:19 IST,Service 2
medium,105117,Cannot connect to printer,03/06/2023 05:47:06 IST,03/08/2023 16:47:06 IST,Service 1
critical,105119,Low ink warning,07/21/2023 12:51:50 IST,07/22/2023 18:51:50 IST,Service 10
high,105124,Cannot print PDF,01/01/2023 20:35:27 IST,01/02/2023 07:35:27 IST,Service 8
medium,105125,Network issues,11/23/2023 17:19:58 IST,11/24/2023 06:19:58 IST,Service 7
low,105130,Printer spooler error,02/27/2023 14:41:57 IST,02/28/2023 00:41:57 IST,Service 1
high,105134,Driver installation error,09/24/2023 10:31:18 IST,09/24/2023 16:31:18 IST,Service 7
medium,105138,Cannot connect to printer,10/21/2023 03:10:21 IST,10/22/2023 19:10:21 IST,Service 7
critical,105139,Slow printing,03/09/2023 20:34:00 IST,03/11/2023 19:34:00 IST,Service 4
high,105143,Paper jam,07/29/2023 01:44:37 IST,07/31/2023 13:44:37 IST,Service 6
high,105148,Driver installation error,07/10/2023 07:01:11 IST,07/11/2023 22:01:11 IST,Service 6
critical,105151,Low ink warning,06/08/2023 15:29:21 IST,06/10/2023 11:29:21 IST,Service 9
critical,105152,Cannot connect to printer,10/26/2023 08:47:53 IST,10/28/2023 02:47:53 IST,Service 7
low,105157,Toner not recognized,05/28/2023 12:52:38 IST,05/28/2023 23:52:38 IST,Service 9
low,105159,Cannot print PDF,04/14/2023 12:39:17 IST,04/15/2023 14:39:17 IST,Service 7
low,105163,Toner not recognized,05/18/2023 22:46:36 IST,05/21/2023 06:46:36 IST,Service 5
low,105168,Printer spooler error,06/02/2023 04:10:00 IST,06/03/2023 15:10:00 IST,Service 1
critical,105172,Network issues,11/08/2023 04:19:13 IST,11/08/2023 05:19:13 IST,Service 8
critical,105177,Printer not responding,09/30/2023 17:07:55 IST,10/02/2023 10:07:55 IST,Service 10
medium,105179,Paper jam,08/26/2023 23:03:05 IST,08/29/2023 08:03:05 IST,Service 7
high,105182,Low ink warning,09/08/2023 18:20:06 IST,09/08/2023 23:20:06 IST,Service 6
high,105184,Low ink warning,08/30/2023 09:08:33 IST,08/31/2023 10:08:33 IST,Service 10
medium,105188,Slow printing,12/27/2023 13:55:42 IST,12/28/2023 02:55:42 IST,Service 5
high,105191,Toner not recognized,04/02/2023 05:02:02 IST,04/03/2023 10:02:02 IST,Service 2
critical,105194,Low ink warning,02/10/2023 06:53:01 IST,02/13/2023 05:53:01 IST,Service 10
critical,105196,Slow printing,04/09/2023 19:04:04 IST,04/12/2023 16:04:04 IST,Service 1
high,105197,Network issues,03/24/2023 10:47:46 IST,03/26/2023 05:47:46 IST,Service 6
low,105201,Network issues,03/30/2023 23:27:48 IST,03/31/2023 18:27:48 IST,Service 1
medium,105205,Paper jam,10/22/2023 19:01:58 IST,10/23/2023 09:01:58 IST,Service 5
medium,105206,Driver installation error,01/10/2023 06:57:29 IST,01/12/2023 10:57:29 IST,Service 9
critical,105210,Toner not recognized,10/20/2023 14:08:48 IST,10/22/2023 10:08:48 IST,Service 1
high,105212,Paper jam,08/19/2023 15:50:51 IST,08/19/2023 18:50:51 IST,Service 7
medium,105217,Slow printing,02/21/2023 09:04:57 IST,02/23/2023 15:04:57 IST,Service 10
medium,105222,Toner not recognized,04/19/2023 20:08:11 IST,04/20/2023 10:08:11 IST,Service 7
medium,105226,Low ink warning,07/30/2023 18:23:09 IST,07/31/2023 15:23:09 IST,Service 4
high,105228,Network issues,03/17/2023 09:10:16 IST,03/20/2023 07:10:16 IST,Service 3
low,105231,Network issues,02/18/2023 19:37:52 IST,02/21/2023 18:37:52 IST,Service 6
critical,105234,Low ink warning,08/31/2023 10:05:59 IST,09/02/2023 18:05:59 IST,Service 5
critical,105235,Paper jam,05/14/2023 21:45:06 IST,05/15/2023 03:45:06 IST,Service 5
high,105240,Toner not recognized,09/13/2023 15:55:28 IST,09/14/2023 09:55:28 IST,Service 10
low,105245,Driver installation error,12/06/2023 16:51:41 IST,12/07/2023 19:51:41 IST,Service 6
low,105250,Printer spooler error,08/29/2023 16:28:08 IST,09/01/2023 06:28:08 IST,Service 1
medium,105255,Low ink warning,11/08/2023 13:40:50 IST,11/11/2023 06:40:50 IST,Service 3
critical,105258,Toner not recognized,03/14/2023 15:28:55 IST,03/16/2023 06:28:55 IST,Service 1
critical,105260,Cannot connect to printer,10/31/2023 05:01:52 IST,11/01/2023 22:01:52 IST,Service 3
medium,105264,Paper jam,01/31/2023 08:55:11 IST,02/03/2023 07:55:11 IST,Service 6
high,105268,Toner not recognized,11/16/2023 11:45:08 IST,11/16/2023 16:45:08 IST,Service 9
high,105272,Toner not recognized,01/12/2023 23:06:53 IST,01/13/2023 17:06:53 IST,Service 10
low,105276,Cannot print PDF,05/03/2023 03:12:04 IST,05/05/2023 06:12:04 IST,Service 8
low,105279,Cannot connect to printer,02/07/2023 14:25:06 IST,02/08/2023 04:25:06 IST,Service 9
critical,105281,Paper jam,03/04/2023 22:26:48 IST,03/07/2023 06:26:48 IST,Service 3
high,105284,Printer not responding,08/24/2023 09:59:18 IST,08/25/2023 05:59:18 IST,Service 1
critical,105286,Network issues,03/29/2023 13:50:06 IST,03/31/2023 10:50:06 IST,Service 9
low,105287,Toner not recognized,06/19/2023 13:57:42 IST,06/20/2023 20:57:42 IST,Service 10
medium,105288,Toner not recognized,07/24/2023 18:31:39 IST,07/27/2023 08:31:39 IST,Service 5
high,105292,Paper jam,06/06/2023 10:16:18 IST,06/08/2023 04:16:18 IST,Service 4
critical,105293,Toner not recognized,02/26/2023 06:15:20 IST,02/28/2023 21:15:20 IST,Service 7
critical,105296,Paper jam,06/03/2023 04:32:39 IST,06/04/2023 08:32:39 IST,Service 4
high,105297,Cannot connect to printer,12/03/2023 16:31:06 IST,12/04/2023 06:31:06 IST,Service 2
low,105300,Printer spooler error,07/25/2023 06:26:50 IST,07/27/2023 05:26:50 IST,Service 5
medium,105304,Network issues,04/16/2023 13:43:49 IST,04/19/2023 05:43:49 IST,Service 6
medium,105308,Printer spooler error,09/26/2023 08:49:07 IST,09/28/2023 01:49:07 IST,Service 2
medium,105309,Paper jam,08/17/2023 09:29:30 IST,08/19/2023 22:29:30 IST,Service 10
critical,105313,Cannot print PDF,10/06/2023 00:14:14 IST,10/06/2023 17:14:14 IST,Service 4
critical,105315,Toner not recognized,03/09/2023 08:59:27 IST,03/11/2023 13:59:27 IST,Service 4
critical,105318,Low ink warning,06/10/2023 04:27:37 IST,06/10/2023 07:27:37 IST,Service 6
high,105323,Cannot print PDF,07/09/2023 15:52:52 IST,07/12/2023 03:52:52 IST,Service 7
high,105325,Driver installation error,03/28/2023 17:43:30 IST,03/30/2023 19:43:30 IST,Service 6
low,105326,Driver installation error,05/11/2023 17:29:22 IST,05/13/2023 00:29:22 IST,Service 7
medium,105327,Network issues,03/10/2023 18:28:55 IST,03/11/2023 07:28:55 IST,Service 3
critical,105328,Slow printing,05/16/2023 18:32:24 IST,05/18/2023 20:32:24 IST,Service 1
critical,105332,Printer not responding,10/31/2023 23:55:46 IST,11/02/2023 06:55:46 IST,Service 9
high,105336,Slow printing,04/05/2023 18:21:35 IST,04/08/2023 17:21:35 IST,Service 5
low,105337,Cannot print PDF,05/17/2023 17:54:29 IST,05/20/2023 00:54:29 IST,Service 10
critical,105338,Cannot connect to printer,08/09/2023 06:45:07 IST,08/12/2023 06:45:07 IST,Service 3
high,105339,Driver installation error,03/21/2023 22:13:06 IST,03/23/2023 02:13:06 IST,Service 5
critical,105340,Toner not recognized,07/18/2023 00:08:47 IST,07/19/2023 11:08:47 IST,Service 10
medium,105343,Printer spooler error,11/07/2023 07:56:35 IST,11/09/2023 21:56:35 IST,Service 9
medium,105346,Toner not recognized,07/11/2023 06:21:16 IST,07/13/2023 20:21:16 IST,Service 7
low,105350,Printer spooler error,09/02/2023 00:24:16 IST,09/03/2023 06:24:16 IST,Service 7
medium,105351,Cannot print PDF,02/08/2023 08:15:44 IST,02/10/2023 16:15:44 IST,Service 10
medium,105352,Low ink warning,07/06/2023 03:09:21 IST,07/08/2023 09:09:21 IST,Service 5
critical,105354,Printer not responding,08/29/2023 18:55:28 IST,08/30/2023 10:55:28 IST,Service 1
high,105355,Network issues,01/09/2023 08:02:33 IST,01/11/2023 16:02:33 IST,Service 5
medium,105357,Cannot print PDF,06/13/2023 03:07:38 IST,06/15/2023 00:07:38 IST,Service 2
critical,105358,Low ink warning,01/17/2023 07:46:03 IST,01/18/2023 21:46:03 IST,Service 9
low,105362,Paper jam,07/14/2023 05:56:45 IST,07/16/2023 17:56:45 IST,Service 4
high,105366,Cannot print PDF,02/26/2023 17:39:30 IST,03/01/2023 07:39:30 IST,Service 5
medium,105369,Low ink warning,07/14/2023 15:52:50 IST,07/15/2023 19:52:50 IST,Service 1
critical,105371,Cannot print PDF,10/17/2023 01:03:17 IST,10/17/2023 22:03:17 IST,Service 1
low,105372,Cannot print PDF,07/09/2023 19:55:55 IST,07/10/2023 15:55:55 IST,Service 8
high,105377,Network issues,05/18/2023 04:54:36 IST,05/20/2023 15:54:36 IST,Service 6
critical,105381,Driver installation error,04/20/2023 22:57:53 IST,04/22/2023 10:57:53 IST,Service 5
medium,105382,Network issues,07/23/2023 13:10:51 IST,07/26/2023 00:10:51 IST,Service 1
low,105384,Printer spooler error,06/26/2023 03:26:26 IST,06/28/2023 16:26:26 IST,Service 1
medium,105385,Low ink warning,09/04/2023 03:16:37 IST,09/06/2023 23:16:37 IST,Service 7
critical,105388,Printer not responding,12/22/2023 05:05:47 IST,12/24/2023 17:05:47 IST,Service 1
